region_en,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28
nursultan,14107,14109,14112,14126,14132,14134,14145,14153,14170,14183,14198,14203,14206,14213,14231,14247,14260,14279,14296,14309,14338,14353,14373,14395,14410,14433,14453,14477,14510,14537,14568,14597,14625,14644,14675,14710,14744,14789,14838,14867,14889,14926,14973,15024,15110,15158,15202,15235,15314,15395,15448,15511,15570,15610,15635,15685,15762,15833,15906,15989,16043,16083,16149,16190,16278,16358,16427,16494,16535,16641,16762,16880,16979,17067,17134,17181,17267,17378,17432,17487,17555,17613,17719,17794,17912,17972,18031,18092,18149,18219,18326,18446,18521,18588,18651,18709,18777,18891,19013,19089,19159,19213,19268,19335,19449,19572,19646,19767,19895,20020,20144,20342,20579,20810,21045,21274,21485,21576,21723,21848,21972,22111,22223,22284,22360,22490,22643,22763,22924,23064,23139,23213,23351,23482,23591,23686,23739,23831,23884,23983,24088,24224,24351,24404,24476,24536,24604,24689,24824,24961,25053,25095,25160,25228,25312,25444,25580,25672,25714,25775,25918,26012,26124,26276,26449,26606,26733,26936,27243,27528,27808,28045,28248,28409,28561,28756,28941,29306,29688,30034,30238,30594,31106,31533,31971,32447,32815,33057,33429,34007,34453,35001,35592,35990,36327,36792,37442,38043,38696,39332,39768,40169,40640,41214,41725,42272,42770,43245,43539,43978,44562,45128,45698,46127,46479,46729,47014,47412,47998,48475,48799,49123,49372,49682,50071,50523,50963,51363,51647,51898,52162,52601,52987,53338,53660,53839,54013,54306,54603,54849,55139,55355,55527,55669,55887,56159,56381,56562,56772,56892,56965,57168,57390,57595,57881,58138,58353,58534,58828,59171,59543,59910,60252,60467,60790,61203,61771,62277,62905,63533,63968,64338,65016,65823,66587,67384,68175,68974,69684,70483,71277,72073,72871,73785,74735,75713,76841,78417,79966,81513,82932,84299,85581,86858,88227,89608,91130,92631,94141,95678,97209
almaty,14390,14394,14396,14397,14398,14403,14409,14419,14430,14440,14449,14454,14463,14473,14483,14495,14508,14517,14527,14539,14552,14563,14607,14627,14647,14662,14672,14681,14693,14711,14732,14756,14777,14802,14825,14850,14880,14912,14940,14966,14990,15020,15050,15089,15166,15211,15253,15289,15324,15367,15458,15542,15594,15636,15682,15725,15802,15876,15960,16033,16103,16155,16197,16269,16333,16396,16467,16534,16599,16667,16741,16816,16898,16978,17050,17124,17201,17278,17344,17409,17460,17532,17612,17700,17790,17885,17995,18080,18163,18243,18324,18411,18521,18639,18742,18847,18939,19033,19138,19266,19401,19517,19637,19747,19858,19980,20111,20232,20347,20444,20523,20635,20750,20880,21010,21141,21276,21408,21547,21685,21807,21897,22012,22128,22215,22328,22439,22551,22671,22784,22898,23016,23107,23202,23310,23426,23536,23638,23745,23836,23941,24044,24156,24258,24359,24470,24563,24663,24773,24878,24977,25073,25175,25280,25401,25535,25670,25855,25996,26114,26274,26471,26708,27001,27361,27703,28000,28307,28625,28991,29428,29781,30191,30586,30966,31307,31637,32087,32597,33012,33557,34083,34598,35193,35840,36412,37023,37608,38228,38938,39655,40370,41079,41689,42287,42899,43556,44229,44909,45586,46251,46933,47600,48295,48993,49687,50369,51062,51751,52449,53144,53819,54516,55201,55868,56526,57171,57822,58511,59157,59794,60364,60794,61185,61782,62339,62924,63515,64064,64584,65109,65643,66153,66674,67193,67591,67939,68249,68539,68818,69070,69308,69538,69733,69941,70144,70328,70489,70643,70786,70911,71049,71175,71312,71436,71547,71643,71708,71820,71929,72034,72149,72270,72385,72495,72612,72798,72979,73196,73413,73622,73748,74001,74306,74659,75044,75435,75831,76108,76407,76747,77167,77658,78278,78916,79451,80091,80941,81826,82717,83601,84399,85028,85738,86731,87727,88807,89998,91217,92424,93674
shyment,5189,5189,5190,5191,5191,5191,5193,5195,5198,5198,5202,5203,5207,5207,5209,5209,5211,5211,5213,5216,5216,5219,5220,5222,5225,5225,5226,5229,5231,5232,5238,5240,5240,5240,5241,5249,5254,5257,5263,5266,5267,5270,5278,5282,5287,5292,5292,5297,5303,5310,5315,5323,5328,5330,5331,5334,5345,5349,5355,5361,5365,5367,5376,5381,5390,5395,5398,5400,5402,5406,5410,5417,5431,5432,5436,5439,5443,5447,5449,5449,5452,5452,5457,5463,5470,5473,5483,5490,5494,5496,5502,5507,5512,5516,5516,5517,5523,5525,5537,5555,5570,5599,5619,5627,5638,5652,5677,5694,5707,5726,5733,5743,5757,5771,5779,5787,5796,5803,5813,5826,5835,5852,5867,5876,5883,5896,5905,5914,5918,5925,5930,5938,5955,5975,5984,5991,5996,6009,6016,6022,6030,6040,6051,6059,6072,6078,6084,6099,6111,6123,6147,6154,6171,6183,6235,6262,6275,6282,6290,6290,6292,6310,6319,6344,6351,6372,6389,6417,6440,6476,6495,6510,6537,6548,6569,6591,6626,6660,6700,6745,6758,6805,6856,6952,7018,7081,7129,7159,7231,7312,7384,7469,7557,7610,7630,7704,7815,7934,8055,8181,8295,8344,8424,8536,8667,8777,8891,8987,9022,9112,9226,9331,9436,9553,9662,9727,9807,9877,10016,10131,10216,10261,10336,10405,10487,10612,10714,10815,10901,10931,11012,11121,11200,11274,11337,11414,11441,11503,11594,11657,11709,11758,11797,11817,11863,11917,11963,12012,12062,12093,12114,12145,12203,12243,12272,12302,12344,12348,12398,12429,12466,12511,12553,12612,12629,12693,12740,12790,12863,12936,13027,13060,13163,13306,13409,13540,13709,13870,13973,14100,14233,14443,14689,15001,15265,15434,15776,16192,16613,16981,17351,17821,18209,18621,19039,19527,20034,20533,21053,21435,21856
akmola,3487,3489,3492,3496,3500,3504,3506,3510,3514,3518,3522,3526,3531,3537,3544,3550,3556,3562,3567,3573,3579,3588,3598,3608,3620,3634,3646,3654,3664,3684,3723,3750,3777,3805,3833,3862,3892,3930,3973,4015,4059,4104,4143,4180,4215,4249,4284,4317,4358,4400,4448,4507,4563,4624,4692,4761,4836,4912,4986,5072,5163,5253,5343,5432,5522,5599,5682,5742,5802,5862,5928,5995,6064,6136,6207,6275,6340,6399,6456,6514,6573,6631,6687,6746,6803,6861,6917,6972,7026,7081,7135,7190,7247,7305,7364,7422,7481,7539,7599,7658,7716,7776,7835,7895,7958,8017,8085,8163,8242,8341,8450,8558,8690,8853,9062,9299,9518,9733,9946,10155,10361,10566,10767,10964,11159,11329,11497,11661,11814,11952,12070,12168,12263,12350,12429,12504,12573,12637,12709,12788,12860,12946,13023,13104,13177,13242,13305,13366,13440,13510,13580,13655,13733,13802,13853,13910,13969,14034,14102,14174,14240,14292,14347,14397,14454,14515,14578,14638,14693,14743,14796,14845,14896,14949,14998,15043,15093,15141,15187,15239,15284,15322,15370,15420,15468,15514,15566,15626,15699,15797,15898,15997,16100,16208,16298,16396,16481,16571,16660,16762,16860,16961,17053,17150,17276,17423,17571,17721,17867,18006,18146,18296,18444,18590,18726,18863,18998,19099,19236,19371,19507,19637,19751,19843,19947,20077,20224,20373,20526,20665,20796,20925,21062,21196,21331,21471,21604,21734,21863,21990,22116,22216,22296,22375,22452,22528,22603,22680,22755,22825,22887,22946,22994,23044,23096,23141,23184,23220,23252,23289,23327,23360,23397,23433,23466,23498,23534,23567,23599,23631,23682,23726,23774,23824,23912,24010,24115,24245,24369,24495,24624,24743,24851,24982,25121,25261,25409,25569,25744,25924,26100,26278,26458,26635,26821,27010,27203,27397,27589,27784,27994
aktobe,3249,3251,3252,3252,3252,3252,3252,3253,3254,3254,3257,3257,3257,3258,3261,3264,3266,3268,3269,3270,3273,3278,3280,3280,3281,3285,3287,3291,3293,3305,3311,3321,3325,3330,3335,3341,3347,3351,3359,3368,3370,3377,3385,3395,3402,3405,3412,3420,3423,3427,3431,3434,3440,3448,3456,3462,3469,3474,3480,3481,3484,3488,3488,3493,3502,3511,3521,3531,3531,3539,3544,3553,3560,3573,3583,3585,3588,3600,3604,3615,3623,3629,3634,3642,3646,3657,3658,3665,3669,3671,3676,3685,3690,3700,3704,3707,3711,3721,3729,3741,3744,3753,3763,3766,3767,3780,3784,3791,3798,3819,3823,3841,3851,3868,3879,3889,3898,3898,3904,3914,3926,3932,3950,3955,3958,3963,3981,3993,4005,4015,4020,4021,4035,4043,4051,4074,4085,4098,4102,4112,4131,4151,4165,4178,4191,4191,4200,4223,4239,4251,4262,4268,4273,4285,4308,4336,4371,4388,4401,4404,4410,4424,4463,4492,4504,4522,4531,4556,4588,4614,4660,4697,4736,4776,4804,4854,4908,4958,5020,5081,5154,5236,5322,5449,5586,5668,5729,5882,6003,6120,6236,6402,6604,6709,6794,6894,7003,7123,7284,7484,7690,7811,7936,8053,8279,8418,8583,8708,8773,8856,8984,9114,9231,9371,9489,9516,9587,9673,9760,9849,9909,9977,10001,10051,10138,10240,10330,10419,10469,10493,10561,10681,10753,10821,10903,10937,10957,10993,11057,11110,11151,11203,11235,11246,11266,11307,11334,11362,11386,11408,11408,11424,11454,11474,11493,11510,11522,11528,11550,11575,11609,11630,11662,11681,11688,11720,11760,11789,11820,11851,11890,11900,11956,12022,12085,12120,12198,12267,12309,12372,12439,12516,12620,12722,12777,12813,12950,13154,13369,13574,13753,13912,14000,14142,14334,14564,14814,15043,15298,15473,15664
almaty_region,4969,4974,4977,4981,4981,4983,4985,4989,4992,4995,4995,4995,4995,4999,5003,5008,5013,5020,5024,5028,5042,5053,5059,5069,5081,5089,5094,5107,5112,5131,5145,5156,5158,5175,5188,5195,5205,5214,5225,5238,5255,5269,5285,5301,5321,5349,5374,5398,5415,5448,5473,5495,5521,5533,5553,5575,5605,5626,5649,5682,5714,5748,5777,5801,5826,5866,5906,5934,5957,5979,6017,6062,6117,6179,6227,6264,6313,6362,6405,6450,6475,6516,6556,6605,6665,6726,6786,6848,6905,6971,7032,7083,7134,7181,7230,7268,7307,7359,7420,7476,7531,7593,7656,7731,7792,7848,7917,8006,8098,8192,8285,8377,8459,8537,8620,8712,8791,8862,8926,8997,9072,9155,9225,9287,9362,9415,9485,9556,9621,9685,9732,9782,9830,9878,9954,10017,10070,10131,10180,10216,10277,10334,10380,10439,10476,10512,10551,10591,10663,10727,10796,10866,10914,10965,11029,11076,11127,11188,11256,11294,11322,11367,11443,11533,11619,11711,11810,11901,11987,12078,12171,12265,12360,12454,12563,12667,12775,12880,12990,13110,13287,13478,13698,13937,14195,14473,14728,15006,15286,15611,15865,16234,16589,16872,17135,17361,17581,17813,18061,18304,18555,18840,19121,19361,19556,19761,20007,20227,20491,20759,20944,21124,21334,21609,21789,21969,22158,22358,22587,22773,22981,23166,23291,23453,23669,23891,24093,24302,24427,24536,24650,24816,24956,25135,25278,25382,25488,25584,25674,25771,25873,25949,26038,26098,26152,26217,26270,26335,26395,26449,26508,26548,26612,26667,26717,26763,26792,26822,26853,26894,26931,26966,26994,27007,27034,27062,27099,27136,27177,27218,27242,27285,27338,27390,27449,27537,27649,27741,27829,27878,27964,28053,28171,28285,28370,28456,28590,28734,28922,29100,29262,29388,29535,29695,29873,30103,30323,30553,30747,31007,31227
atyrau,11093,11096,11098,11101,11102,11106,11112,11120,11128,11132,11137,11145,11153,11162,11172,11178,11186,11191,11199,11209,11220,11232,11241,11249,11254,11257,11262,11266,11270,11282,11294,11299,11302,11309,11318,11326,11335,11350,11355,11359,11366,11373,11385,11397,11409,11421,11435,11449,11460,11477,11496,11510,11523,11538,11549,11557,11571,11583,11598,11616,11633,11652,11677,11708,11736,11754,11781,11810,11871,11905,11933,11973,11999,12049,12107,12146,12206,12283,12343,12438,12512,12561,12623,12685,12744,12806,12885,13017,13150,13274,13334,13450,13544,13609,13690,13741,13890,13991,14066,14173,14265,14319,14392,14466,14539,14614,14699,14790,14881,14952,15030,15104,15186,15297,15401,15497,15598,15682,15752,15842,15936,15967,16014,16092,16144,16233,16291,16335,16380,16424,16467,16492,16541,16562,16595,16643,16673,16711,16736,16774,16809,16848,16882,16915,16939,16967,17005,17054,17082,17121,17167,17181,17205,17240,17261,17301,17345,17398,17441,17468,17508,17541,17582,17624,17669,17710,17758,17807,17845,17881,17921,17966,18007,18055,18118,18183,18265,18358,18439,18514,18577,18652,18727,18830,18940,19040,19143,19207,19309,19446,19595,19741,19872,19982,20016,20109,20222,20339,20458,20585,20695,20792,20906,21046,21179,21307,21423,21520,21575,21673,21783,21863,21946,22034,22109,22153,22238,22321,22400,22482,22556,22618,22656,22726,22801,22876,22956,23031,23108,23156,23222,23301,23388,23507,23593,23677,23713,23777,23852,23937,24022,24086,24135,24165,24247,24319,24383,24442,24495,24544,24573,24628,24697,24760,24808,24856,24899,24926,24978,25040,25102,25147,25194,25234,25260,25310,25370,25431,25520,25609,25679,25745,25834,25932,26035,26172,26326,26475,26629,26786,26935,27089,27249,27505,27795,28129,28449,28748,29077,29419,29696,29989,30280,30628,31014,31503,31949,32369,32789,33269,33699
east_kazakhstan,8751,8769,8787,8805,8819,8835,8849,8868,8884,8904,8921,8932,8943,8954,8966,8976,8986,8997,9012,9030,9049,9070,9090,9115,9142,9167,9197,9221,9360,9565,9798,10050,10295,10521,10718,10940,11190,11443,11796,12050,12295,12532,12763,13024,13272,13508,13705,13926,14156,14408,14650,14877,15075,15263,15417,15577,15741,15911,16056,16191,16316,16389,16530,16670,16807,16938,17063,17163,17234,17329,17428,17557,17655,17752,17830,17890,17954,18023,18088,18151,18211,18279,18354,18425,18491,18552,18593,18632,18681,18732,18780,18826,18867,18905,18946,18994,19041,19080,19122,19172,19219,19256,19294,19321,19358,19397,19438,19490,19520,19548,19595,19638,19669,19710,19762,19804,19835,19880,19933,19972,20013,20080,20159,20240,20326,20407,20470,20534,20582,20642,20705,20791,20869,20944,21008,21053,21114,21167,21252,21321,21392,21453,21503,21558,21610,21692,21765,21833,21897,21945,21998,22039,22094,22143,22177,22216,22266,22294,22315,22333,22342,22360,22394,22429,22453,22473,22491,22505,22523,22551,22576,22601,22621,22650,22668,22687,22706,22723,22762,22800,22822,22846,22880,22921,22963,23000,23034,23057,23096,23151,23200,23259,23319,23352,23372,23397,23492,23598,23696,23801,23886,23953,24036,24129,24227,24322,24421,24507,24575,24653,24745,24846,24943,25037,25122,25199,25286,25370,25478,25572,25675,25762,25841,25932,26019,26121,26215,26308,26382,26460,26537,26622,26719,26813,26906,26986,27059,27134,27214,27309,27401,27488,27567,27638,27708,27793,27883,27970,28058,28135,28205,28270,28349,28437,28522,28609,28681,28748,28824,28900,28990,29071,29144,29219,29283,29353,29431,29518,29600,29682,29746,29811,29882,29960,30042,30125,30198,30264,30319,30389,30469,30547,30627,30698,30766,30829,30881,30960,31023,31105,31186,31273,31368,31461,31568,31646,31747,31881,32020,32353,32665
jambyl,4125,4127,4127,4128,4129,4130,4131,4132,4134,4136,4140,4143,4145,4147,4149,4151,4152,4153,4153,4155,4158,4160,4163,4165,4169,4172,4175,4177,4180,4183,4185,4188,4191,4195,4199,4203,4207,4212,4216,4220,4225,4230,4236,4243,4249,4253,4258,4264,4272,4282,4293,4304,4314,4324,4338,4352,4366,4382,4397,4411,4422,4437,4452,4467,4482,4498,4516,4532,4550,4572,4596,4620,4646,4672,4700,4730,4762,4795,4820,4834,4840,4848,4858,4870,4885,4900,4915,4930,4947,4965,4980,4995,5007,5022,5030,5039,5048,5062,5077,5094,5112,5131,5147,5164,5174,5187,5204,5224,5247,5271,5296,5317,5342,5361,5388,5408,5426,5447,5470,5494,5516,5543,5567,5581,5589,5604,5614,5636,5646,5658,5669,5681,5691,5709,5719,5734,5748,5764,5772,5782,5793,5807,5820,5839,5855,5865,5883,5894,5915,5935,5947,5956,5961,5970,5985,6002,6021,6040,6055,6072,6073,6090,6099,6112,6128,6148,6167,6181,6192,6210,6223,6242,6256,6273,6278,6288,6300,6315,6329,6348,6373,6397,6423,6441,6464,6489,6515,6543,6574,6613,6651,6690,6739,6792,6843,6879,6917,6957,6998,7041,7087,7140,7198,7267,7337,7410,7481,7532,7589,7658,7737,7814,7885,7954,8022,8080,8145,8214,8289,8354,8426,8477,8519,8555,8592,8626,8658,8691,8723,8748,8769,8792,8825,8856,8894,8918,8936,8957,8989,9006,9034,9064,9088,9117,9140,9157,9180,9211,9233,9266,9282,9299,9331,9363,9382,9402,9424,9446,9460,9475,9493,9514,9534,9547,9569,9593,9614,9645,9679,9713,9752,9783,9808,9835,9867,9904,9938,9995,10055,10090,10131,10169,10212,10263,10329,10381,10439,10510,10587,10668,10725,10778,10894,10999,11096,11201,11309,11411,11563,11704,11841
west_kazakhstan,6863,6865,6867,6868,6869,6870,6872,6874,6877,6880,6882,6885,6890,6894,6898,6903,6907,6913,6919,6924,6929,6935,6943,6953,6961,6966,6975,6983,6992,7000,7013,7024,7037,7050,7064,7093,7142,7186,7229,7274,7300,7324,7352,7382,7417,7457,7499,7527,7564,7604,7643,7687,7730,7772,7805,7834,7871,7912,7955,7994,8038,8077,8106,8140,8181,8220,8261,8304,8344,8378,8407,8447,8485,8523,8564,8607,8645,8672,8708,8745,8782,8822,8867,8907,8934,8963,9001,9035,9074,9119,9162,9192,9221,9256,9287,9322,9367,9407,9439,9482,9531,9576,9622,9669,9712,9752,9793,9842,9888,9935,9985,10030,10085,10146,10220,10304,10393,10490,10585,10678,10782,10873,10971,11058,11113,11198,11307,11395,11476,11567,11650,11701,11785,11872,11947,12009,12086,12124,12171,12245,12329,12412,12473,12538,12577,12622,12687,12769,12844,12910,12973,13008,13054,13118,13190,13262,13331,13392,13426,13465,13522,13596,13667,13735,13795,13827,13878,13933,13997,14078,14158,14245,14338,14399,14473,14549,14597,14684,14782,14876,14952,15048,15146,15250,15362,15471,15576,15677,15775,15900,16010,16140,16267,16385,16498,16613,16730,16842,16956,17065,17270,17507,17738,17923,18104,18276,18447,18613,18704,18877,19030,19185,19340,19497,19607,19680,19809,19960,20105,20247,20367,20469,20577,20671,20768,20891,20997,21111,21208,21300,21398,21503,21612,21714,21805,21890,21958,22045,22143,22238,22337,22427,22502,22558,22649,22744,22833,22923,23010,23070,23109,23206,23295,23381,23461,23543,23594,23627,23716,23800,23871,23944,24022,24088,24101,24189,24280,24350,24448,24546,24673,24736,24862,24983,25126,25283,25456,25642,25823,26012,26188,26379,26577,26782,26997,27139,27326,27560,27819,28108,28374,28578,28686,28958,29128,29363,29672,29943,30111,30247,30444
